"2008-06-30","Orissa","Uninor","0"
"2008-06-30","Orissa","Videocon Telecommunications","0"
"2008-06-30","Orissa","Vodafone Essar","0"
"2008-06-30","Punjab","Bharti Airtel Ltd","275.348"
"2008-06-30","Punjab","Etisalat DB Telecom ","0"
"2008-06-30","Punjab","Spice Commns.","160.136"
"2008-06-30","Punjab","Vodafone Essar","111.075"
"2008-06-30","Rajasthan","Aircel Limited","0"
"2008-06-30","Rajasthan","Bharti Airtel Ltd","329.175"
"2008-06-30","Rajasthan","Etisalat DB Telecom ","0"
"2008-06-30","Rajasthan","Idea Cellular ","42.9338"
"2008-06-30","Rajasthan","Videocon Telecommunications","0"
"2008-06-30","Rajasthan","Vodafone Essar","192.988"
"2008-06-30","Tamil Nadu","Aircel Limited","280.219"
"2008-06-30","Tamil Nadu","Idea Cellular ","0"
"2008-06-30","Tamil Nadu","Uninor","0"
"2008-06-30","Tamil Nadu ","Vodafone Essar","213.39"
"2008-06-30","Tamilnadu","Videocon Telecommunications","0"
"2008-06-30","TN & Chennai","Bharti Airtel Ltd","468.68"
"2008-06-30","TN& Chennai","Etisalat DB Telecom ","0"
"2008-06-30","U.P(E)","Videocon Telecommunications","0"
"2008-06-30","U.P(W)","Videocon Telecommunications","0"
"2008-06-30","UP (E)","Aircel Limited","0"
"2008-06-30","UP (E)","Bharti Airtel Ltd","257.15"
"2008-06-30","UP (E)","Idea Cellular ","57.55"
"2008-06-30","UP (E)","Uninor","0"
"2008-06-30","UP (East)","Vodafone Essar","298.938"
"2008-06-30","UP (W)","Aircel Limited","0"
"2008-06-30","UP (W)","Uninor","0"
"2008-06-30","UP (W)","Vodafone Essar","197.163"
"2008-06-30","UP(E)","Etisalat DB Telecom ","0"
"2008-06-30","UP(W)","Bharti Airtel Ltd","114.007"
"2008-06-30","UP(W)","Etisalat DB Telecom ","0"
"2008-06-30","UP(West)","Idea Cellular ","194.28"
"2008-06-30","W.B","Videocon Telecommunications","0"
"2008-06-30","WB","Bharti Airtel Ltd","125.325"
"2008-06-30","WB","Dishnet Wireless","11.725"
"2008-06-30","WB","Idea Cellular ","0"
"2008-06-30","WB","Reliance Telecom","27.3962"
"2008-06-30","WB","Vodafone Essar","181.288"
"2008-06-30","West Bengal","Uninor","0"
"2008-09-30","A.P.","Bharti Airtel Ltd","628.17"
"2008-09-30","AP","Aircel Limited","0"
"2008-09-30","AP","Etisalat DB Telecom ","0"
"2008-09-30","AP","Idea Cellular ","286.48"
"2008-09-30","AP","Uninor","0"
"2008-09-30","AP","Videocon Telecommunications","0"
"2008-09-30","AP","Vodafone Essar","216.52"
"2008-09-30","Assam","Bharti Airtel Ltd","81.7167"
"2008-09-30","Assam","Dishnet Wireless","72.0617"
"2008-09-30","Assam","Idea Cellular ","0"
"2008-09-30","Assam","Reliance Telecom","58.2967"
"2008-09-30","Assam","S Tel Pvt. Ltd","0"
"2008-09-30","Assam","Vodafone Essar","0"
"2008-09-30","Bihar","Bharti Airtel Ltd","370.383"
"2008-09-30","Bihar","Dishnet Wireless","19.1"
"2008-09-30","Bihar","Etisalat DB Telecom ","0"
"2008-09-30","Bihar","Idea Cellular ","0"
"2008-09-30","Bihar","Reliance Telecom","91.61"
"2008-09-30","Bihar","S Tel Pvt. Ltd","0"
"2008-09-30","Bihar","Uninor","0"
"2008-09-30","Bihar","Videocon Telecommunications","0"
"2008-09-30","Bihar","Vodafone Essar","0"
"2008-09-30","Chennai","Aircel Cellular ","105.47"
"2008-09-30","Chennai","Vodafone Essar","110.38"
"2008-09-30","Delhi","Aircel Limited","0"
"2008-09-30","Delhi","Bharti Airtel Ltd","468.29"
"2008-09-30","Delhi","Etisalat DB Telecom ","0"
"2008-09-30","Delhi","Idea Cellular ","151.35"
"2008-09-30","Delhi","Vodafone Essar","339.73"
"2008-09-30","Gujarat","Aircel Limited","0"
"2008-09-30","Gujarat","Bharti Airtel Ltd","196.4"
"2008-09-30","Gujarat","Etisalat DB Telecom ","0"
"2008-09-30","Gujarat","Idea Cellular ","179.17"
"2008-09-30","Gujarat","Uninor","0"
"2008-09-30","Gujarat","Videocon Telecommunications","0"
"2008-09-30","Gujarat","Vodafone Essar","440.826"
"2008-09-30","H.P","Bharti Airtel Ltd","65.7833"
"2008-09-30","Haryana","Bharti Airtel Ltd","70.4375"
"2008-09-30","Haryana","Etisalat DB Telecom ","0"
"2008-09-30","Haryana","Idea Cellular ","71.2375"
"2008-09-30","Haryana","Videocon Telecommunications","0"
"2008-09-30","Haryana","Vodafone Essar","82.0625"
"2008-09-30","Himachal Pradesh","Videocon Telecommunications","0"
"2008-09-30","HP","Dishnet Wireless","1.46667"
"2008-09-30","HP","Idea Cellular ","5.725"
"2008-09-30","HP","Reliance Telecom","21.1667"
"2008-09-30","HP","S Tel Pvt. Ltd","0"
"2008-09-30","HP","Vodafone Essar","0"
"2008-09-30","J & K","Bharti Airtel Ltd","111.867"
"2008-09-30","J & K","Dishnet Wireless","20.21"
"2008-09-30","J & K","Vodafone Essar","0"
"2008-09-30","J&K","Idea Cellular ","0"
"2008-09-30","Karnataka","Aircel Limited","0"
"2008-09-30","Karnataka","Bharti Airtel Ltd","696.22"
"2008-09-30","Karnataka","Etisalat DB Telecom ","0"
"2008-09-30","Karnataka","Spice Commns.","99.4"
"2008-09-30","Karnataka","Uninor","0"
"2008-09-30","Karnataka","Videocon Telecommunications","0"
"2008-09-30","Karnataka","Vodafone Essar","213.464"
"2008-09-30","Kerala","Aircel Limited","0"
"2008-09-30","Kerala","Bharti Airtel Ltd","141.812"
"2008-09-30","Kerala","Etisalat DB Telecom ","0"
"2008-09-30","Kerala","Idea Cellular ","225.225"
"2008-09-30","Kerala","Uninor","0"
"2008-09-30","Kerala","Videocon Telecommunications","0"
"2008-09-30","Kerala","Vodafone Essar","159.975"
"2008-09-30","Kolkata","Aircel Limited","2.6"
"2008-09-30","Kolkata","Bharti Airtel Ltd","146"
"2008-09-30","Kolkata","Idea Cellular ","0"
"2008-09-30","Kolkata","Reliable Internet","10"
"2008-09-30","Kolkata","Uninor","0"
"2008-09-30","Kolkata","Vodafone Essar","154.58"
"2008-09-30","M.P","Reliance Telecom","52.62"
"2008-09-30","Madhya Pradesh","Videocon Telecommunications","0"
"2008-09-30","Maharashtra","Aircel Limited","0"
"2008-09-30","Maharashtra","Bharti Airtel Ltd","286.35"
"2008-09-30","Maharashtra","Etisalat DB Telecom ","0"
"2008-09-30","Maharashtra ","Idea Cellular ","382.2"
"2008-09-30","Maharashtra","Uninor","0"
"2008-09-30","Maharashtra","Videocon Telecommunications","0"
"2008-09-30","Maharashtra","Vodafone Essar","225.52"
"2008-09-30","MP","Bharti Airtel Ltd","212.45"
"2008-09-30","MP","Etisalat DB Telecom ","0"
"2008-09-30","MP","Idea Cellular ","230"
"2008-09-30","MP","Vodafone Essar","0"
"2008-09-30","Mumbai","Aircel Limited","0"
"2008-09-30","Mumbai","Bharti Airtel Ltd","242.28"
"2008-09-30","Mumbai","Etisalat DB Telecom ","0"
"2008-09-30","Mumbai","Idea Cellular ","0"
"2008-09-30","Mumbai ","Loop Mobile","120.7"
"2008-09-30","Mumbai","Uninor","0"
"2008-09-30","Mumbai ","Vodafone Essar","448.637"
"2008-09-30","NE","Dishnet Wireless","48.1"
"2008-09-30","NE","Idea Cellular ","0"
"2008-09-30","NE","Reliance Telecom","21.7333"
"2008-09-30","North East ","Bharti Airtel Ltd","57.5167"
"2008-09-30","North East","S Tel Pvt. Ltd","0"
"2008-09-30","North East","Vodafone Essar","0"
"2008-09-30","Orissa","Bharti Airtel Ltd","151.117"
"2008-09-30","Orissa","Dishnet Wireless","16.505"
"2008-09-30","Orissa","Idea Cellular ","0"
"2008-09-30","Orissa","Reliance Telecom","43.5667"
"2008-09-30","Orissa","S Tel Pvt. Ltd","0"
"2008-09-30","Orissa","Uninor","0"
"2008-09-30","Orissa","Videocon Telecommunications","0"
"2008-09-30","Orissa","Vodafone Essar","0"
"2008-09-30","Punjab","Bharti Airtel Ltd","285.562"
"2008-09-30","Punjab","Etisalat DB Telecom ","0"
"2008-09-30","Punjab","Spice Commns.","148.875"
"2008-09-30","Punjab","Vodafone Essar","105.825"
"2008-09-30","Rajasthan","Aircel Limited","0"
"2008-09-30","Rajasthan","Bharti Airtel Ltd","350.116"
"2008-09-30","Rajasthan","Etisalat DB Telecom ","0"
"2008-09-30","Rajasthan","Idea Cellular ","44.875"
"2008-09-30","Rajasthan","Videocon Telecommunications","0"
"2008-09-30","Rajasthan","Vodafone Essar","192.775"
