"2008-12-01","C"," Orissa ","Telewings ","0"
"2008-12-01","Metro"," Chennai "," Aircel Cellular Ltd ","0"
"2008-12-01","Metro"," Chennai "," Bharti Airtel ","0"
"2008-12-01","Metro"," Chennai "," Vodafone Essar ","0"
"2008-12-01","Metro"," Delhi "," Aircel Ltd. ","0"
"2008-12-01","Metro"," Delhi "," Bharti Airtel ","0"
"2008-12-01","Metro"," Delhi "," IDEA Cellular Ltd. ","0"
"2008-12-01","Metro"," Delhi "," MTNL ","0"
"2008-12-01","Metro"," Delhi "," Vodafone Essar ","0"
"2008-12-01","Metro"," Kolkata "," Aircel Ltd. ","0"
"2008-12-01","Metro"," Kolkata "," Bharti Airtel ","0"
"2008-12-01","Metro"," Kolkata "," IDEA Cellular Ltd. ","0"
"2008-12-01","Metro"," Kolkata "," Vodafone Essar  ","931385"
"2008-12-01","Metro"," Mumbai "," Bharti Airtel ","0"
"2008-12-01","Metro"," Mumbai "," Idea ","0"
"2008-12-01","Metro"," Mumbai "," Loop Mobile ","0"
"2008-12-01","Metro"," Mumbai "," Vodafone Essar ","0"
"2008-12-01","UNK"," Assam "," Reliance Telecom ","486692"
"2008-12-01","UNK"," Bihar "," Reliance Telecom ","727851"
"2008-12-01","UNK"," N.E. "," Reliance Telecom ","82792"
"2008-12-01","UNK"," Orissa "," Reliance Telecom ","588001"
"2009-01-01","A"," A.P. "," Bharti Airtel ","1826000"
"2009-01-01","A"," A.P. "," IDEA Cellular Ltd. ","2456900"
"2009-01-01","A"," A.P. "," Vodafone Essar ","495552"
"2009-01-01","A"," A.P. ","Telewings ","0"
"2009-01-01","A"," Gujarat "," Aircel Limited ","0"
"2009-01-01","A"," Gujarat "," Bharti Airtel ","980406"
"2009-01-01","A"," Gujarat "," IDEA Cellular Ltd. ","1208280"
"2009-01-01","A"," Gujarat "," Vodafone Essar ","3491460"
"2009-01-01","A"," Gujarat ","Telewings ","0"
"2009-01-01","A"," Karnatka "," Bharti Airtel ","2342660"
"2009-01-01","A"," Karnatka "," IDEA Cellular Ltd. ","239653"
"2009-01-01","A"," Karnatka "," Vodafone Essar ","193659"
"2009-01-01","A"," Karnatka ","Telewings ","0"
"2009-01-01","A"," Maharashtra "," Aircel Limited ","0"
"2009-01-01","A"," Maharashtra "," Bharti Airtel ","1171540"
"2009-01-01","A"," Maharashtra "," IDEA Cellular Ltd. ","2775080"
"2009-01-01","A"," Maharashtra "," Vodafone Essar ","2020890"
"2009-01-01","A"," Maharashtra ","Telewings ","0"
"2009-01-01","A"," T.N. "," Aircel Limited ","2977990"
"2009-01-01","A"," T.N. "," Bharti Airtel ","1246520"
"2009-01-01","A"," T.N. "," IDEA Cellular Ltd. ","0"
"2009-01-01","A"," T.N. "," Vodafone Essar ","899073"
"2009-01-01","A"," T.N. ","Telewings ","0"
"2009-01-01","B"," A & N "," Bharti Airtel ","31351"
"2009-01-01","B"," A & N "," Vodafone  Essar ","7069"
"2009-01-01","B"," Chatisgarh "," Bharti Airtel ","354401"
"2009-01-01","B"," Chatisgarh "," IDEA Cellular Ltd. ","141664"
"2009-01-01","B"," Haryana "," Aircel Ltd ","0"
"2009-01-01","B"," Haryana "," Bharti Airtel ","333053"
"2009-01-01","B"," Haryana "," IDEA Cellular Ltd. ","621284"
"2009-01-01","B"," Haryana "," Vodafone Essar ","1156110"
"2009-01-01","B"," Haryana ","Telewings ","0"
"2009-01-01","B"," Kerala "," Aircel Ltd ","0"
"2009-01-01","B"," Kerala "," Bharti Airtel ","255816"
"2009-01-01","B"," Kerala "," IDEA Cellular Ltd. ","2627100"
"2009-01-01","B"," Kerala "," Vodafone Essar ","696226"
"2009-01-01","B"," Kerala ","Telewings ","0"
"2009-01-01","B"," M.P. "," Bharti Airtel ","1238000"
"2009-01-01","B"," M.P. "," IDEA Cellular Ltd. ","941200"
"2009-01-01","B"," M.P. "," Vodafone Essar ","0"
"2009-01-01","B"," M.P. ","Telewings ","0"
"2009-01-01","B"," Punjab "," Aircel Ltd ","0"
"2009-01-01","B"," Punjab "," Bharti Airtel ","1375270"
"2009-01-01","B"," Punjab "," IDEA Cellular Ltd. ","1066310"
"2009-01-01","B"," Punjab "," Vodafone Essar ","281408"
"2009-01-01","B"," Punjab ","Telewings ","0"
"2009-01-01","B"," Rajasthan "," Aircel Ltd ","0"
"2009-01-01","B"," Rajasthan "," Bharti Airtel ","2802710"
"2009-01-01","B"," Rajasthan "," IDEA Cellular Ltd. ","330227"
"2009-01-01","B"," Rajasthan "," Vodafone Essar ","1525850"
"2009-01-01","B"," Rajasthan ","Telewings ","0"
"2009-01-01","B"," U.P.(E) "," Aircel Ltd ","0"
"2009-01-01","B"," U.P.(E) "," Bharti Airtel ","2837450"
"2009-01-01","B"," U.P.(E) "," IDEA Cellular Ltd. ","498991"
"2009-01-01","B"," U.P.(E) "," Vodafone Essar ","2436350"
"2009-01-01","B"," U.P.(E) ","Telewings ","0"
"2009-01-01","B"," U.P.(W) "," Aircel Ltd ","0"
"2009-01-01","B"," U.P.(W) "," Bharti Airtel ","352583"
"2009-01-01","B"," U.P.(W) "," IDEA Cellular Ltd. ","902320"
"2009-01-01","B"," U.P.(W) "," Vodafone Essar ","1178650"
"2009-01-01","B"," U.P.(W) ","Telewings ","0"
"2009-01-01","B"," Uttarakhand "," Bharti Airtel ","159689"
"2009-01-01","B"," Uttarakhand "," IDEA Cellular Ltd. ","569174"
"2009-01-01","B"," Uttarakhand "," Vodafone Essar ","248396"
"2009-01-01","B"," W.B. "," Bharti Airtel ","1890180"
"2009-01-01","B"," W.B. "," Dishnet Wireless ","345300"
"2009-01-01","B"," W.B. "," IDEA Cellular Ltd. ","0"
"2009-01-01","B"," W.B. "," Vodafone Essar ","2911320"
"2009-01-01","B"," W.B. ","Telewings ","0"
"2009-01-01","C"," Assam "," Bharti Airtel ","666807"
"2009-01-01","C"," Assam "," Dishnet Wireless ","590896"
"2009-01-01","C"," Assam "," IDEA Cellular Ltd. ","0"
"2009-01-01","C"," Assam "," Vodafone Essar ","0"
"2009-01-01","C"," Assam ","Telewings ","0"
"2009-01-01","C"," Bihar "," Bharti Airtel ","2693440"
"2009-01-01","C"," Bihar "," Dishnet Wireless ","522524"
"2009-01-01","C"," Bihar "," IDEA Cellular Ltd. ","184284"
"2009-01-01","C"," Bihar "," Vodafone Essar ","6568"
"2009-01-01","C"," Bihar ","Telewings ","0"
"2009-01-01","C"," H.P. "," Bharti Airtel ","768477"
"2009-01-01","C"," H.P. "," Dishnet Wireless ","50561"
"2009-01-01","C"," H.P. "," IDEA Cellular Ltd. ","31027"
"2009-01-01","C"," H.P. "," Vodafone Essar ","1737"
"2009-01-01","C"," H.P. ","Telewings ","0"
"2009-01-01","C"," J & K "," Bharti Airtel ","768374"
"2009-01-01","C"," J & K "," Dishnet Wireless ","253864"
"2009-01-01","C"," J & K "," IDEA Cellular Ltd. ","0"
"2009-01-01","C"," J & K "," Vodafone Essar ","0"
"2009-01-01","C"," J & K ","Telewings ","0"
"2009-01-01","C"," Jharkhand "," Bharti Airtel ","829194"
"2009-01-01","C"," Jharkhand "," IDEA Cellular Ltd. ","26621"
"2009-01-01","C"," N.E. "," Bharti Airtel ","599311"
"2009-01-01","C"," N.E. "," Dishnet Wireless ","196775"
"2009-01-01","C"," N.E. "," IDEA Cellular Ltd. ","0"
"2009-01-01","C"," N.E. "," Vodafone Essar ","0"
"2009-01-01","C"," N.E. ","Telewings ","0"
"2009-01-01","C"," Orissa "," Bharti Airtel ","1673780"
"2009-01-01","C"," Orissa "," Dishnet Wireless ","436944"
"2009-01-01","C"," Orissa "," IDEA Cellular Ltd. ","0"
"2009-01-01","C"," Orissa "," Vodafone Essar ","37320"
"2009-01-01","C"," Orissa ","Telewings ","0"
"2009-01-01","Metro"," Chennai "," Aircel Cellular Ltd ","0"
"2009-01-01","Metro"," Chennai "," Bharti Airtel ","0"
"2009-01-01","Metro"," Chennai "," Vodafone Essar ","0"
"2009-01-01","Metro"," Delhi "," Aircel Ltd. ","0"
"2009-01-01","Metro"," Delhi "," Bharti Airtel ","0"
"2009-01-01","Metro"," Delhi "," IDEA Cellular Ltd. ","0"
"2009-01-01","Metro"," Delhi "," MTNL ","0"
"2009-01-01","Metro"," Delhi "," Vodafone Essar ","0"
"2009-01-01","Metro"," Kolkata "," Aircel Ltd. ","0"
"2009-01-01","Metro"," Kolkata "," Bharti Airtel ","0"
"2009-01-01","Metro"," Kolkata "," IDEA Cellular Ltd. ","0"
"2009-01-01","Metro"," Kolkata "," Vodafone Essar  ","965319"
"2009-01-01","Metro"," Mumbai "," Bharti Airtel ","0"
"2009-01-01","Metro"," Mumbai "," Idea ","0"
"2009-01-01","Metro"," Mumbai "," Loop Mobile ","0"
"2009-01-01","Metro"," Mumbai "," Vodafone Essar ","0"
"2009-01-01","UNK"," Assam "," Reliance Telecom ","501296"
"2009-01-01","UNK"," Bihar "," Reliance Telecom ","736269"
"2009-01-01","UNK"," N.E. "," Reliance Telecom ","87961"
"2009-01-01","UNK"," Orissa "," Reliance Telecom ","605931"
"2009-02-01","A"," A.P. "," Bharti Airtel ","1882240"
"2009-02-01","A"," A.P. "," IDEA Cellular Ltd. ","2518720"
"2009-02-01","A"," A.P. "," Vodafone Essar ","521136"
"2009-02-01","A"," A.P. ","Telewings ","0"
